tcin,dpci,target_description,vendor_style,biom_sku,rdz_item,rdz_base_qty_multiplier,upc,casepack,casepack_source,shippack,category,sub_category,status_active_in_sales,status_active_in_pos,mapping_confidence,mapping_rule,first_sale,last_sale,last_po,last_inventory_date,units_since_2026_06_01,open_po_units,plan_future_ordered_q,latest_store_on_hand,latest_on_purchase,rdz_qty_remaining,rdz_units_per_case,item_state,launch_date,in_sales,in_inventory,in_orders,in_po_plan,in_forecast,notes
94799740,007-07-8361,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 720ct: Face & Body Application, Refill Pouch, With Aloe & Vitamin E",K-60WIP-BAB-FRA-12PK,K-60WIP-BAB-FRA-12PK,K-60WIP-BAB-FRA-12PK,1,850056298971,1.0,orders.VENDOR_CASEPACK_Q,1.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-03-14,2026-09-01,2026-08-31,2026-09-01,10814.0,7514.0,1418.0,8569,881,23772.0,1.0,READY_FOR_LAUNCH,2026-03-15 07:00:00,True,True,True,True,True,style variants on Target feeds: K-6OWIP-BA | RDZ inbound: Healthy INV qty 
94928289,003-02-8568,Biom Plastic Free Plant Based Disinfecting Wipes - Alpine Mint - 60ct,P-60WIP-DSN-ALP,P-60WIP-DSN-ALP,P-60WIP-DSN-ALP,1,850056298834,12.0,orders.VENDOR_CASEPACK_Q,12.0,Cleaning,DSN,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-02-28,2026-09-01,2026-05-17,2026-09-01,30654.0,13872.0,14736.0,68766,0,99349.0,12.0,READY_FOR_LAUNCH,2026-03-01 08:00:00,True,True,True,True,True,RDZ inbound: TBD qty 
94928290,003-02-2154,Biom Refillable Plant-Based Wipes Dispenser - Brushed Stainless,P-DIS-SS-BRU,P-DIS-SS-BRU,P-DIS-SS-BRU,1,850078481047,4.0,orders.VENDOR_CASEPACK_Q,4.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-04-18,2026-09-01,2026-08-30,2026-09-01,9466.0,5776.0,20524.0,9336,1960,4002.0,4.0,READY_FOR_LAUNCH,2026-04-19 07:00:00,True,True,True,True,True,
94928291,003-02-5627,"Biom Plastic Free Plant Based Disinfecting Wipes - Variety - 3pk/180ct: Ammonia-Free, Paraben-Free, Mint Scent",K-60WIP-DSN-COM-3PK,K-60WIP-DSN-COM-3PK,K-60WIP-DSN-COM-3PK,1,850078481023,4.0,orders.VENDOR_CASEPACK_Q,4.0,Cleaning,DSN,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-02-28,2026-09-01,2026-08-30,2026-09-01,48643.0,19792.0,15496.0,32338,2688,2418.0,4.0,READY_FOR_LAUNCH,2026-03-01 08:00:00,True,True,True,True,True,"RDZ inbound: TBD qty 45,000"
94928292,003-02-5042,"Biom Plastic Free Plant Based Disinfecting Wipes - Fresh Citrus - 60ct: Ammonia-Free, Aluminum-Free, Paraben-Free",P-60WIP-DSN-CIT,P-60WIP-DSN-CIT,P-60WIP-DSN-CIT,1,850056298506,12.0,orders.VENDOR_CASEPACK_Q,12.0,Cleaning,DSN,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-02-28,2026-09-01,2026-08-30,2026-09-01,52262.0,17808.0,68868.0,52113,1404,171430.0,12.0,READY_FOR_LAUNCH,2026-03-01 08:00:00,True,True,True,True,True,RDZ inbound: TBD qty 
94928293,003-02-5488,Biom Plant Based Refillable All Purpose Wipes Variety - 3pk/180ct,K-60WIP-AP-COM,K-60WIP-AP-COM,K-60WIP-AP-COM,1,850078481030,4.0,orders.VENDOR_CASEPACK_Q,4.0,Cleaning,APC,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-04-11,2026-09-01,2026-08-30,2026-09-01,23132.0,14660.0,15208.0,13747,3776,17043.0,4.0,READY_FOR_LAUNCH,2026-04-19 07:00:00,True,True,True,True,True,
94979715,253-04-0086,Biom Travel Pack Biodegradable Body Wipes - Naturally Fresh - 30ct,P-30WIP-BOD-NAT-TRV,P-30WIP-BOD-NAT-TRV,P-30WIP-BOD-NAT-TRV,1,850078481108,24.0,orders.VENDOR_CASEPACK_Q,6.0,Personal Care,Body Care,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-04-18,2026-09-01,2026-08-31,2026-09-01,16427.0,9528.0,4176.0,7836,1392,24709.0,24.0,READY_FOR_LAUNCH,2026-04-19 07:00:00,True,True,True,True,True,
94979716,253-04-9259,Biom Travel Pack Biodegradable Hand Sanitizing Wipes - Santal Escape - 20ct,P-20WIP-SAN-STL-TRV,P-20WIP-SAN-STL-TRV,P-20WIP-SAN-STL-TRV,1,850078481139,24.0,orders.VENDOR_CASEPACK_Q,24.0,Personal Care,Sanitizing,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-02-28,2026-09-01,2026-07-13,2026-09-01,12068.0,7320.0,888.0,1818,0,472.0,24.0,READY_FOR_LAUNCH,2026-03-01 08:00:00,True,True,True,True,True,"RDZ inbound: 9/18/2026 qty 50,000"
94979717,253-04-3809,Biom Mini Dispenser with Biodegradable Hand Sanitizing Wipes - Santal Escape - 40ct,K-6DIS-WHI-1SAN-STL,K-6DIS-WHI-1SAN-STL,K-6DIS-WHI-1SAN-STL,1,850078481153,6.0,orders.VENDOR_CASEPACK_Q,6.0,Personal Care,Bundles & Kits,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-02-28,2026-09-01,2026-08-31,2026-09-01,16132.0,11382.0,7872.0,7172,3648,5578.0,6.0,READY_FOR_LAUNCH,2026-03-01 08:00:00,True,True,True,True,True,RDZ inbound: Kitting qty 
94979718,253-04-0088,Biom Mini Biodegradable Refillable Hand Sanitizing Wipes - Santal Escape - 40ct,P-40WIP-6IN-SAN-STL,P-40WIP-6IN-SAN-STL,P-40WIP-6IN-SAN-STL,1,850078481122,24.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,Sanitizing,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-03-21,2026-09-01,2026-08-31,2026-09-01,21320.0,15072.0,12240.0,5943,5376,6225.0,24.0,READY_FOR_LAUNCH,2026-04-19 07:00:00,True,True,True,True,True,"RDZ also carries ""P-40WIP-6IN-SAN-STL (PDQ)"" row (qty_remaining 21717.0) - Target store shippack 4 suggests Target consumes the PDQ row; confirm which row(s) count"
95285660,253-06-1801,Biom Flushable Personal Wipes Fragrance Free - 120ct,P-60WIP-FLU-FRA-2PK,P-60WIP-FLU-FRA-2PK,P-60WIP-FLU-FRA,2,850056298926,12.0,orders.VENDOR_CASEPACK_Q,12.0,Personal Care,WET BATH,False,True,inferred,multipack style suffix -2PK -> base P-60WIP-FLU-FRA x2; no BOM in RDZ sheet,,,2026-07-30,2026-09-01,0.0,26016.0,84144.0,0,26016,12833.0,12.0,READY_FOR_ORDER,2026-10-11,False,True,True,True,True,"category inferred from Target dept 253 (not in dim_product) | NOT in dim_product (is_in_target) | style was P-60WIP-FLU-FRA in inventory feed 2026-03-07..06-08, renamed -2PK from 2026-06-09; RDZ stocks only the base P-60WIP-FLU-FRA (12,833) - bag/2PK conversion needs a BOM | style variants on Target feeds: P-60WIP-FLU-FRA | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | multiple UPCs across feeds: 850056298483|850056298926|850078481818 | RDZ inbound: TBD qty 30,000 | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07"
95285661,253-06-0085,Biom Flushable Personal Wipes Unscented - 180ct,K-60WIP-FLU-FRA-3Pk,K-60WIP-FLU-FRA-3Pk,P-60WIP-FLU-FRA,3,850078481610,4.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,WET BATH,False,True,exact,UPC 850078481610 matches item-aliases.tsv -> P-60WIP-FLU-FRA x3 (K-60WIP-FLU-FRA-3PK; ASIN B0HFW17DQK),,,2026-08-24,2026-09-01,0.0,112.0,0.0,0,0,12833.0,12.0,READY_FOR_ORDER,2026-10-11,False,True,True,True,True,"multipack: Target casepack 4 of packs vs RDZ base-item Units per Case 12 (expected to differ) | category inferred from Target dept 253 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | RDZ inbound: TBD qty 30,000 | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07"
95285662,253-06-4305,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,K-DIS-2FLU-WHI,K-DIS-2FLU-WHI,K-DIS-2FLU-WHI,2,850078481627,4.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,WET BATH,False,True,inferred,UPC 850078481627 matches item-aliases.tsv -> K-DIS-2FLU-WHI x2 (K-DIS-2FLU-WHI; ASIN B0HFW7KLLC; BASE SKU NOT IN RDZ); alias target NOT in RDZ Inventory Summary,,,2026-07-30,2026-09-01,0.0,15080.0,17456.0,0,15080,,,READY_FOR_ORDER,2026-10-11,False,True,True,True,True,"category inferred from Target dept 253 (not in dim_product) | NOT in dim_product (is_in_target) | alias TSV maps UPC to itself x2 (placeholder); not an RDZ Item #; likely BOM P-DIS-WHI x1 + P-60WIP-FLU-FRA x2 (by analogy to K-DIS-2BAB-* = dispenser+dock + 2 refills) - UNCONFIRMED, not in RDZ kit table | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07"
1010810949,007-08-0321,Biom Baby Mini Little Messes Hand Wipes Refills Fragrance Free - 40ct,P-40WIP-LIT-FRA,P-40WIP-LIT-FRA,P-40WIP-LIT-FRA,1,850078481672,24.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-08-21,2026-09-01,2026-08-31,2026-09-01,449.0,22728.0,20976.0,8040,7896,1956.0,24.0,READY_FOR_LAUNCH,2026-08-30 07:00:00,True,True,True,True,True,"RDZ also carries ""P-40WIP-LIT-FRA (PDQ)"" row (qty_remaining 1872.0) - Target store shippack 4 suggests Target consumes the PDQ row; confirm which row(s) count | style variants on Target feeds: P-40WIP-LIT_FRA | dim_product.is_discontinued=True"
1010810951,007-08-5892,Biom Refillable Mini Dispenser Little Mess Hand Wipes Periwinkle - 40ct,K-6DIS-PER-1LIT,K-6DIS-PER-1LIT,K-6DIS-PER-1LIT,1,850078481726,6.0,orders.VENDOR_CASEPACK_Q,2.0,Other,Bundles & Kits,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-08-20,2026-09-01,2026-08-31,2026-09-01,513.0,13110.0,4548.0,5406,2850,1668.0,6.0,READY_FOR_LAUNCH,2026-08-30 07:00:00,True,True,True,True,True,RDZ inbound: Kitting qty 
1011278742,253-04-0113,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,P-20WIP-SAN-BER-TRV,P-20WIP-SAN-BER-TRV,P-20WIP-SAN-BER-TRV,1,850078481221,24.0,orders.VENDOR_CASEPACK_Q,24.0,Personal Care,HAND & FACE WIPES,False,True,exact,Target MANUFACTURER_STYLE/VENDOR_STYLE_ID == RDZ Item # (TCIN absent from dim_product),,,2026-08-25,2026-09-01,0.0,102672.0,0.0,0,102672,-102672.0,24.0,READY_FOR_ORDER,2026-11-08,False,True,True,True,False,category inferred from Target dept 253 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | RDZ qty_remaining NEGATIVE (-102672.0): allocations exceed receipts | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07
1011824789,003-02-0180,Biom Pine Forest Disinfecting Wipes Refill All-Purpose Cleaners - 60ct,P-60WIP-DSN-PIN,P-60WIP-DSN-PIN,,1,850078481634,12.0,dly_po_plan_tcin.VENDOR_CASE_PACK_Q,,Cleaning,WIPES,False,True,unmapped,,,,,2026-09-01,0.0,0.0,43968.0,0,0,,,READY_FOR_ORDER,2026-11-08,False,True,False,True,False,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | Target PO PLAN has 43968 future ordered units but no RDZ item exists | in inventory feed but NEVER sold | Target ITEM STATE=READY_FOR_ORDER | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07
1012188490,007-08-0147,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,P-30WIP-LIT-FRA,P-30WIP-LIT-FRA,P-30WIP-LIT-FRA,1,850078481665,24.0,orders.VENDOR_CASEPACK_Q,24.0,Personal Care,Baby,False,True,exact,Target MANUFACTURER_STYLE/VENDOR_STYLE_ID == RDZ Item # (TCIN absent from dim_product),,,2026-08-24,2026-09-01,0.0,30600.0,8568.0,0,30600,-30600.0,24.0,READY_FOR_ORDER,2026-11-08,False,True,True,True,False,category inferred from Target dept 7 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | RDZ qty_remaining NEGATIVE (-30600.0): allocations exceed receipts | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07
1012188491,007-07-0097,Biom Baby Wipes Go-Pack Unscented - 30ct,P-30WIP-BAB-FRA,P-30WIP-BAB-FRA,P-30WIP-BAB-FRA,1,850078481658,24.0,orders.VENDOR_CASEPACK_Q,24.0,Personal Care,Baby,False,True,exact,Target MANUFACTURER_STYLE/VENDOR_STYLE_ID == RDZ Item # (TCIN absent from dim_product),,,2026-08-24,2026-09-01,0.0,27000.0,11208.0,0,27000,-27000.0,24.0,READY_FOR_ORDER,2026-11-08,False,True,True,True,False,category inferred from Target dept 7 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | has Target POs but no sales yet (pre-launch) | Target ITEM STATE=READY_FOR_ORDER | RDZ qty_remaining NEGATIVE (-27000.0): allocations exceed receipts | biom_sku from Target LaunchPad export shared 2026-09-07 | launch_date from Target LaunchPad export shared 2026-09-07
