tcin,sku,issue,detail
1012188491.0,P-30WIP-BAB-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-09-27 expected 3,648 lead 26"
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,"po_week 2026-10-04 expected 1,356 lead 32"
94928290.0,P-DIS-SS-BRU,PLANNED_FORWARD,"po_week 2026-10-04 expected 3,072 lead 32"
95285660.0,P-60WIP-FLU-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-04 expected 36,360 lead 33"
95285662.0,K-DIS-2FLU-WHI,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-04 expected 7,916 lead 33"
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-04 expected 10,308 lead 32"
1012188490.0,P-30WIP-LIT-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-04 expected 1,488 lead 33"
1012188491.0,P-30WIP-BAB-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-04 expected 2,088 lead 33"
89854821.0,P-DIS-EUC,PLANNED_FORWARD,"po_week 2026-10-11 expected 7,920 lead 39"
89854823.0,P-DIS-WHI,PLANNED_FORWARD,"po_week 2026-10-11 expected 7,020 lead 39"
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,"po_week 2026-10-11 expected 6,888 lead 39"
94928290.0,P-DIS-SS-BRU,PLANNED_FORWARD,"po_week 2026-10-11 expected 8,636 lead 39"
94928292.0,P-60WIP-DSN-CIT,PLANNED_FORWARD,"po_week 2026-10-11 expected 26,412 lead 39"
95285660.0,P-60WIP-FLU-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-11 expected 15,528 lead 40"
95285662.0,K-DIS-2FLU-WHI,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-11 expected 3,044 lead 40"
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,po_week 2026-10-11 expected 48 lead 39
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,"po_week 2026-10-18 expected 3,888 lead 46"
94928290.0,P-DIS-SS-BRU,PLANNED_FORWARD,"po_week 2026-10-18 expected 3,760 lead 46"
94928292.0,P-60WIP-DSN-CIT,PLANNED_FORWARD,"po_week 2026-10-18 expected 13,860 lead 46"
95285660.0,P-60WIP-FLU-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-18 expected 16,200 lead 47"
95285662.0,K-DIS-2FLU-WHI,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-18 expected 3,188 lead 47"
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-18 expected 1,404 lead 46"
1012188490.0,P-30WIP-LIT-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,po_week 2026-10-18 expected 504 lead 47
1012188491.0,P-30WIP-BAB-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,po_week 2026-10-18 expected 696 lead 47
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,"po_week 2026-10-25 expected 1,968 lead 53"
95285660.0,P-60WIP-FLU-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-25 expected 16,056 lead 54"
95285662.0,K-DIS-2FLU-WHI,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-25 expected 3,308 lead 54"
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-25 expected 2,916 lead 53"
1012188490.0,P-30WIP-LIT-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-25 expected 3,120 lead 54"
1012188491.0,P-30WIP-BAB-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-10-25 expected 3,168 lead 54"
,,DFE_STALE_OR_MISSING,"{'used': False, 'last_update_d': '2026-07-27', 'ratio': 1.25, 'age_days': 39, 'reason': 'stale: 39 d > 21 d'}"
,P-DIS-SS-BLU,OWNER_SKU_UNRESOLVED,"no TCIN via biom_sku, vendor_style or alias; unresolved"
,P-10WIP-BOD-NAT-TRV,OWNER_SKU_UNRESOLVED,"no TCIN via biom_sku, vendor_style or alias; unresolved"
,P-60WIP-FLU-FRA,OWNER_SKU_UNRESOLVED,"no TCIN via biom_sku, vendor_style or alias; ambiguous:rdz_item:[95285660, 95285661]"
,,OWNER_SHEET_WARNING,PLACEHOLDER_STORES_1 P-DIS-BLK: Stores == 1 in every modelled month
,,OWNER_SHEET_WARNING,PLACEHOLDER_STORES_1 P-DIS-DGR: Stores == 1 in every modelled month
,,OWNER_SHEET_WARNING,DUPLICATE_TOTAL_DEMAND P-DIS-DGR is cell-for-cell identical to P-DIS-BLK
,,OWNER_SHEET_WARNING,PLACEHOLDER_STORES_1 P-DIS-LGR: Stores == 1 in every modelled month
,,OWNER_SHEET_WARNING,DUPLICATE_TOTAL_DEMAND P-DIS-LGR is cell-for-cell identical to P-DIS-BLK
,,OWNER_SHEET_WARNING,SKU_NO_TCIN P-DIS-SS-BLU (unresolved); rows kept with tcin null
,,OWNER_SHEET_WARNING,PLACEHOLDER_STORES_1 K-DIS-2BAB-LGR: Stores == 1 in every modelled month
,,OWNER_SHEET_WARNING,PLACEHOLDER_STORES_1 K-DIS-2BAB-PUR: Stores == 1 in every modelled month
,,OWNER_SHEET_WARNING,DUPLICATE_TOTAL_DEMAND P-30WIP-LIT-FRA is cell-for-cell identical to P-30WIP-BAB-FRA
,,OWNER_SHEET_WARNING,SKU_NO_TCIN P-10WIP-BOD-NAT-TRV (unresolved); rows kept with tcin null
,,OWNER_SHEET_WARNING,"SKU_NO_TCIN P-60WIP-FLU-FRA (ambiguous:rdz_item:[95285660, 95285661]); rows kept with tcin null"
