po_week,tcin,expected_po_units,lead_days,plan_business_d,n_dc,stream,primary_signal,fallback_rung,flags,lag1_rep,mean4_rep,mean8_rep,weeks_ordered_8,grade,low,high,band_source,band_pct,confidence,sku,description,item_group,ship_offset_days,casepack,item_state,mapping_confidence,ship_week,expected_cases,po_week_label,fiscal_week
2026-08-30,94643459,12.0,0,,10,created,order_feed,created,,36.0,60.0,58.5,8,A,,,,0.15,A · high · ±15%,P-DIS-BLK,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,2.0,2026-08-30,FY2026 W31
2026-08-30,94643460,6.0,0,,10,created,order_feed,created,,36.0,55.5,53.25,8,A,,,,0.15,A · high · ±15%,P-DIS-LGR,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,1.0,2026-08-30,FY2026 W31
2026-08-30,94723685,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-FIR,"Biom Fraser Fir All-Purpose Cleaning Wipes Refill - 60ct: Removes Dirt, Grease, Multi-Surface Use",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94723686,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-PEP,Biom Peppermint All-Purpose Cleaning Wipes Refill - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94723687,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-6DIS-WHI,"Biom Mini Refillable Wipe Dispenser - Bone: BPA-Free, Silicone, 6 Height",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94723688,0.0,0,2026-08-31,10,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-DIS-TER,Biom Refillable Plant-Based Wipes Dispenser - Terracotta,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94723689,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-40WIP-6IN-AP-VAN,"Biom Tres Vanille All-Purpose Cleaning Mini Wipes - 40ct: Refill Pouch, Removes Dirt",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94799734,20.0,0,,29,created,order_feed,created,,80.0,242.0,386.5,8,A,,,,0.15,A · high · ±15%,K-DIS-2BAB-WHI,"Biom 99% Water Hypoallergenic Baby Starter Kit - White - Fragrance Free - 120 wipes: Face, Hands, Nose, Whole Body, Diaper Area",D7,7,4.0,READY_FOR_LAUNCH,exact,2026-09-06,5.0,2026-08-30,FY2026 W31
2026-08-30,94799736,0.0,0,2026-08-31,29,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,0.0,0.0,200.0,4,C,0.0,0.0,,0.5,C · directional · ±50%,K-DIS-2BAB-LGR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Seafoam Green - Fragrance Free - 120ct: Refillable, Alcohol-Free, Aloe & Vitamin E",D7,7,4.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-08-30,FY2026 W31
2026-08-30,94799737,48.0,0,,29,created,order_feed,created,,396.0,1173.0,1992.0,8,A,,,,0.15,A · high · ±15%,P-60WIP-BAB-FRA,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 60ct: Alcohol-Free, Contains Aloe, Refill Pouch",D7,7,12.0,READY_FOR_LAUNCH,exact,2026-09-06,4.0,2026-08-30,FY2026 W31
2026-08-30,94799738,0.0,0,2026-08-31,29,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,0.0,0.0,31.0,4,C,0.0,0.0,,0.5,C · directional · ±50%,K-DIS-2BAB-PUR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Lilac - Fragrance Free - 120ct: Refillable Container, Contains Aloe, Contains Vitamin E",D7,7,6.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-08-30,FY2026 W31
2026-08-30,94799739,39.0,0,,29,created,order_feed,created,,153.0,650.25,998.625,8,A,,,,0.15,A · high · ±15%,K-60WIP-BAB-FRA-4PK,"Biom 99% Water Hypoallergenic Baby Wipes -Fragrance Free - 240ct: Face, Hands, Nose, Whole Body, Diaper Area",D7,7,3.0,READY_FOR_LAUNCH,exact,2026-09-06,13.0,2026-08-30,FY2026 W31
2026-08-30,94799740,21.0,0,,29,created,order_feed,created,,175.0,724.0,582.75,8,A,,,,0.15,A · high · ±15%,K-60WIP-BAB-FRA-12PK,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 720ct: Face & Body Application, Refill Pouch, With Aloe & Vitamin E",D7,7,1.0,READY_FOR_LAUNCH,exact,2026-09-06,21.0,2026-08-30,FY2026 W31
2026-08-30,94928289,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-DSN-ALP,Biom Plastic Free Plant Based Disinfecting Wipes - Alpine Mint - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94928290,912.0,0,,29,created,order_feed,created,,740.0,429.0,501.0,8,A,,,,0.15,A · high · ±15%,P-DIS-SS-BRU,Biom Refillable Plant-Based Wipes Dispenser - Brushed Stainless,D3-C2,5,4.0,READY_FOR_LAUNCH,exact,2026-08-30,228.0,2026-08-30,FY2026 W31
2026-08-30,94928291,1208.0,0,,29,created,order_feed,created,,912.0,518.0,669.0,8,A,,,,0.15,A · high · ±15%,K-60WIP-DSN-COM-3PK,"Biom Plastic Free Plant Based Disinfecting Wipes - Variety - 3pk/180ct: Ammonia-Free, Paraben-Free, Mint Scent",D3-C2,5,4.0,READY_FOR_LAUNCH,exact,2026-08-30,302.0,2026-08-30,FY2026 W31
2026-08-30,94928292,552.0,0,,29,created,order_feed,created,,528.0,366.0,877.5,8,A,,,,0.15,A · high · ±15%,P-60WIP-DSN-CIT,"Biom Plastic Free Plant Based Disinfecting Wipes - Fresh Citrus - 60ct: Ammonia-Free, Aluminum-Free, Paraben-Free",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,46.0,2026-08-30,FY2026 W31
2026-08-30,94928293,2188.0,0,,29,created,order_feed,created,,1096.0,690.0,1583.5,8,A,,,,0.15,A · high · ±15%,K-60WIP-AP-COM,Biom Plant Based Refillable All Purpose Wipes Variety - 3pk/180ct,D3-C2,5,4.0,READY_FOR_LAUNCH,exact,2026-08-30,547.0,2026-08-30,FY2026 W31
2026-08-30,94979715,336.0,0,,29,created,order_feed,created,,384.0,876.0,1344.0,8,A,,,,0.15,A · high · ±15%,P-30WIP-BOD-NAT-TRV,Biom Travel Pack Biodegradable Body Wipes - Naturally Fresh - 30ct,D253-C4,5,24.0,READY_FOR_LAUNCH,exact,2026-08-30,14.0,2026-08-30,FY2026 W31
2026-08-30,94979716,0.0,0,2026-08-31,29,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,0.0,0.0,369.0,2,C,0.0,0.0,,0.5,C · directional · ±50%,P-20WIP-SAN-STL-TRV,Biom Travel Pack Biodegradable Hand Sanitizing Wipes - Santal Escape - 20ct,D253-C4,5,24.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,94979717,1698.0,0,,29,created,order_feed,created,,942.0,883.5,865.5,8,A,,,,0.15,A · high · ±15%,K-6DIS-WHI-1SAN-STL,Biom Mini Dispenser with Biodegradable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,283.0,2026-08-30,FY2026 W31
2026-08-30,94979718,2112.0,0,,29,created,order_feed,created,,1800.0,1512.0,1728.0,8,A,,,,0.15,A · high · ±15%,P-40WIP-6IN-SAN-STL,Biom Mini Biodegradable Refillable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,5,24.0,READY_FOR_LAUNCH,exact,2026-08-30,88.0,2026-08-30,FY2026 W31
2026-08-30,95285660,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-FLU-FRA-2PK,Biom Flushable Personal Wipes Fragrance Free - 120ct,D253-C6,5,12.0,READY_FOR_ORDER,inferred,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,95285661,0.0,0,2026-08-31,10,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,112.0,28.0,14.0,1,C,0.0,0.0,,0.5,C · directional · ±50%,K-60WIP-FLU-FRA-3Pk,Biom Flushable Personal Wipes Unscented - 180ct,D253-C6,5,4.0,READY_FOR_ORDER,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,95285662,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,D253-C6,5,4.0,READY_FOR_ORDER,inferred,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,1010810949,1536.0,0,,29,created,order_feed,created,,1728.0,4572.0,2286.0,4,A,,,,0.15,A · high · ±15%,P-40WIP-LIT-FRA,Biom Baby Mini Little Messes Hand Wipes Refills Fragrance Free - 40ct,D7,7,24.0,READY_FOR_LAUNCH,exact,2026-09-06,64.0,2026-08-30,FY2026 W31
2026-08-30,1010810951,528.0,0,,29,created,order_feed,created,,330.0,930.0,465.0,3,A,,,,0.15,A · high · ±15%,K-6DIS-PER-1LIT,Biom Refillable Mini Dispenser Little Mess Hand Wipes Periwinkle - 40ct,D7,7,6.0,READY_FOR_LAUNCH,exact,2026-09-06,88.0,2026-08-30,FY2026 W31
2026-08-30,1011278742,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,D253-C4,5,24.0,READY_FOR_ORDER,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,1011824789,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-DSN-PIN,Biom Pine Forest Disinfecting Wipes Refill All-Purpose Cleaners - 60ct,D3-C2,5,12.0,READY_FOR_ORDER,unmapped,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,1012188490,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,D7,7,24.0,READY_FOR_ORDER,exact,2026-09-06,0.0,2026-08-30,FY2026 W31
2026-08-30,1012188491,0.0,0,2026-08-31,29,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,D7,7,24.0,READY_FOR_ORDER,exact,2026-09-06,0.0,2026-08-30,FY2026 W31
2026-08-30,1012914812,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-20WIP-AP-STL-TRV,Biom Santal Escape Cleaning Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,5,,READY_FOR_ORDER,unmapped,2026-08-30,,2026-08-30,FY2026 W31
2026-08-30,1012914813,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-20WIP-DSN-CIT-TRV,Biom Fresh Citrus Disinfecting Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,5,,READY_FOR_ORDER,unmapped,2026-08-30,,2026-08-30,FY2026 W31
2026-09-06,89854821,2712.0,4,2026-09-02,29,forecast,target_po_plan,plan,,2154.0,1749.0,1789.5,8,C,240.0,7714.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,452.0,2026-09-06,FY2026 W32
2026-09-06,89854822,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-LAV,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,89854823,2022.0,4,2026-09-02,29,forecast,target_po_plan,plan,,2340.0,1321.5,1105.5,8,C,178.0,5752.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-WHI,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,337.0,2026-09-06,FY2026 W32
2026-09-06,89854824,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-GRA,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,89854825,3648.0,4,2026-09-02,29,forecast,target_po_plan,plan,,1320.0,1722.0,1765.5,8,C,323.0,10376.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-TAN,Biom Refillable Plant-Based Wipes Dispenser - Sand,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,608.0,2026-09-06,FY2026 W32
2026-09-06,89854826,3144.0,4,2026-09-02,29,forecast,target_po_plan,plan,,1020.0,1401.0,2289.0,8,C,278.0,8942.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-AP-STL,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,262.0,2026-09-06,FY2026 W32
2026-09-06,93197977,1152.0,4,2026-09-02,29,forecast,target_po_plan,plan,,456.0,498.0,877.5,8,C,101.0,3278.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-AP-NER,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,96.0,2026-09-06,FY2026 W32
2026-09-06,93197978,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,,Biom Refillable Wipe Dispenser,D3-C2,5,,,unmapped,2026-09-06,,2026-09-06,FY2026 W32
2026-09-06,93197979,2856.0,4,2026-09-02,29,forecast,target_po_plan,plan,,3096.0,2217.0,2322.0,8,C,252.0,8123.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-AP-FRA,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,238.0,2026-09-06,FY2026 W32
2026-09-06,94643458,6.0,4,2026-09-02,7,forecast,target_po_plan,plan,,24.0,27.0,24.0,8,C,0.0,19.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-DGR,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,1.0,2026-09-06,FY2026 W32
2026-09-06,94643459,12.0,4,2026-09-02,10,forecast,target_po_plan,plan,,36.0,60.0,58.5,8,C,0.0,36.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-BLK,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,2.0,2026-09-06,FY2026 W32
2026-09-06,94643460,24.0,4,2026-09-02,10,forecast,target_po_plan,plan,,36.0,55.5,53.25,8,C,1.0,70.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-LGR,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,4.0,2026-09-06,FY2026 W32
2026-09-06,94723685,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-FIR,"Biom Fraser Fir All-Purpose Cleaning Wipes Refill - 60ct: Removes Dirt, Grease, Multi-Surface Use",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,94723686,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-PEP,Biom Peppermint All-Purpose Cleaning Wipes Refill - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,94723687,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-6DIS-WHI,"Biom Mini Refillable Wipe Dispenser - Bone: BPA-Free, Silicone, 6 Height",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,94723688,0.0,4,2026-09-02,10,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-DIS-TER,Biom Refillable Plant-Based Wipes Dispenser - Terracotta,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,94723689,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-40WIP-6IN-AP-VAN,"Biom Tres Vanille All-Purpose Cleaning Mini Wipes - 40ct: Refill Pouch, Removes Dirt",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,0.0,2026-09-06,FY2026 W32
2026-09-06,94799734,56.0,5,2026-09-02,29,forecast,target_po_plan,plan,,80.0,242.0,386.5,8,C,4.0,161.0,empirical_lowo,0.5,C · directional · ±50%,K-DIS-2BAB-WHI,"Biom 99% Water Hypoallergenic Baby Starter Kit - White - Fragrance Free - 120 wipes: Face, Hands, Nose, Whole Body, Diaper Area",D7,7,4.0,READY_FOR_LAUNCH,exact,2026-09-13,14.0,2026-09-06,FY2026 W32
2026-09-06,94799736,0.0,4,2026-09-02,29,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,0.0,0.0,200.0,4,C,0.0,0.0,,0.5,C · directional · ±50%,K-DIS-2BAB-LGR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Seafoam Green - Fragrance Free - 120ct: Refillable, Alcohol-Free, Aloe & Vitamin E",D7,7,4.0,READY_FOR_LAUNCH,exact,2026-09-13,0.0,2026-09-06,FY2026 W32
2026-09-06,94799737,96.0,5,2026-09-02,29,forecast,target_po_plan,plan,,396.0,1173.0,1992.0,8,C,8.0,275.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-BAB-FRA,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 60ct: Alcohol-Free, Contains Aloe, Refill Pouch",D7,7,12.0,READY_FOR_LAUNCH,exact,2026-09-13,8.0,2026-09-06,FY2026 W32
2026-09-06,94799738,0.0,4,2026-09-02,29,forecast,none,plan_zero_history_positive,PLAN_ZERO_HISTORY_POSITIVE,0.0,0.0,31.0,4,C,0.0,0.0,,0.5,C · directional · ±50%,K-DIS-2BAB-PUR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Lilac - Fragrance Free - 120ct: Refillable Container, Contains Aloe, Contains Vitamin E",D7,7,6.0,READY_FOR_LAUNCH,exact,2026-09-13,0.0,2026-09-06,FY2026 W32
2026-09-06,94799739,66.0,5,2026-09-02,29,forecast,target_po_plan,plan,,153.0,650.25,998.625,8,C,5.0,190.0,empirical_lowo,0.5,C · directional · ±50%,K-60WIP-BAB-FRA-4PK,"Biom 99% Water Hypoallergenic Baby Wipes -Fragrance Free - 240ct: Face, Hands, Nose, Whole Body, Diaper Area",D7,7,3.0,READY_FOR_LAUNCH,exact,2026-09-13,22.0,2026-09-06,FY2026 W32
2026-09-06,94799740,39.0,5,2026-09-02,29,forecast,target_po_plan,plan,,175.0,724.0,582.75,8,C,3.0,113.0,empirical_lowo,0.5,C · directional · ±50%,K-60WIP-BAB-FRA-12PK,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 720ct: Face & Body Application, Refill Pouch, With Aloe & Vitamin E",D7,7,1.0,READY_FOR_LAUNCH,exact,2026-09-13,39.0,2026-09-06,FY2026 W32
2026-09-06,94928289,24.0,4,2026-09-02,29,forecast,target_po_plan,plan,NO_PO_8WK,0.0,0.0,0.0,0,C,1.0,70.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-DSN-ALP,Biom Plastic Free Plant Based Disinfecting Wipes - Alpine Mint - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,2.0,2026-09-06,FY2026 W32
2026-09-06,94928290,416.0,4,2026-09-02,29,forecast,target_po_plan,plan,,740.0,429.0,501.0,8,C,36.0,1185.0,empirical_lowo,0.5,C · directional · ±50%,P-DIS-SS-BRU,Biom Refillable Plant-Based Wipes Dispenser - Brushed Stainless,D3-C2,5,4.0,READY_FOR_LAUNCH,exact,2026-09-06,104.0,2026-09-06,FY2026 W32
2026-09-06,94928291,1484.0,4,2026-09-02,29,forecast,target_po_plan,plan,,912.0,518.0,669.0,8,C,131.0,4222.0,empirical_lowo,0.5,C · directional · ±50%,K-60WIP-DSN-COM-3PK,"Biom Plastic Free Plant Based Disinfecting Wipes - Variety - 3pk/180ct: Ammonia-Free, Paraben-Free, Mint Scent",D3-C2,5,4.0,READY_FOR_LAUNCH,exact,2026-09-06,371.0,2026-09-06,FY2026 W32
2026-09-06,94928292,1656.0,4,2026-09-02,29,forecast,target_po_plan,plan,,528.0,366.0,877.5,8,C,146.0,4711.0,empirical_lowo,0.5,C · directional · ±50%,P-60WIP-DSN-CIT,"Biom Plastic Free Plant Based Disinfecting Wipes - Fresh Citrus - 60ct: Ammonia-Free, Aluminum-Free, Paraben-Free",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-09-06,138.0,2026-09-06,FY2026 W32
